121 180
20 7
	115 85 44 258
	116 99 50 278
	117 82 30 305
	118 97 47 288
	119 90 27 343
	120 92 33 322
	121 88 20 360
21 5
	122 84 18 156
	123 84 14 178
	124 91 26 143
	125 80 16 158
	126 82 11 185
22 8
	127 86 27 142
	128 97 13 217
	129 81 11 189
	130 97 29 156
	131 81 21 158
	132 94 17 193
	133 96 19 191
	134 95 25 168
23 8
	135 87 13 94
	136 83 8 112
	137 81 15 81
	138 93 9 117
	139 92 11 108
	140 83 10 102
	141 92 6 126
	142 83 12 94
24 5
	143 81 24 323
	144 89 44 272
	145 94 20 378
	146 91 27 354
	147 84 34 289
25 6
	148 99 42 258
	149 94 21 331
	150 80 30 249
	151 94 27 307
	152 84 39 228
	153 94 33 279
26 4
	154 89 28 253
	155 98 34 259
	156 81 19 268
	157 87 39 205
27 6
	158 92 15 96
	159 93 6 127
	160 98 17 95
	161 99 12 111
	162 99 16 99
	163 87 10 108
28 4
	164 88 43 253
	165 96 36 317
	166 97 40 303
	167 80 46 213
29 5
	168 85 35 208
	169 80 16 271
	170 83 41 175
	171 80 32 202
	172 90 27 252
30 8
	173 98 28 213
	174 98 16 267
	175 80 23 194
	176 82 14 229
	177 81 18 211
	178 94 25 220
	179 85 30 171
	180 95 32 189
31 8
	181 90 13 93
	182 97 17 91
	183 80 7 106
	184 84 11 95
	185 82 10 97
	186 95 12 106
	187 82 9 105
	188 98 15 97
32 4
	189 83 14 94
	190 82 13 97
	191 94 18 92
	192 92 17 97
33 7
	193 98 14 159
	194 84 21 106
	195 93 20 129
	196 89 18 133
	197 93 15 150
	198 87 17 134
	199 95 23 118
34 4
	200 83 33 390
	201 86 58 290
	202 94 54 348
	203 88 29 432
35 6
	204 98 40 471
	205 88 68 322
	206 86 54 367
	207 89 58 367
	208 95 27 508
	209 88 31 471
36 5
	210 98 56 332
	211 99 44 388
	212 81 60 260
	213 98 40 408
	214 87 28 396
37 5
	215 83 50 373
	216 85 32 460
	217 82 64 308
	218 83 69 308
	219 88 46 414
38 7
	220 97 23 272
	221 94 29 238
	222 94 15 296
	223 89 26 238
	224 91 18 275
	225 82 31 201
	226 94 37 206
39 8
	227 81 38 312
	228 97 54 324
	229 98 34 401
	230 96 46 351
	231 94 27 408
	232 93 50 327
	233 85 30 366
	234 97 57 312
40 5
	235 87 18 262
	236 91 21 262
	237 92 37 209
	238 85 29 219
	239 85 23 241
41 6
	240 90 12 178
	241 95 19 162
	242 99 17 179
	243 88 10 186
	244 82 15 152
	245 83 24 117
42 6
	246 90 36 253
	247 85 33 247
	248 92 18 335
	249 99 27 326
	250 84 21 305
	251 96 30 292
43 8
	252 89 26 391
	253 87 49 289
	254 93 53 308
	255 91 22 422
	256 96 57 293
	257 83 45 285
	258 90 34 357
	259 85 41 312
44 8
	260 80 50 242
	261 84 25 362
	262 82 39 282
	263 89 21 395
	264 89 29 362
	265 96 32 369
	266 86 54 253
	267 96 43 322
45 5
	268 94 36 188
	269 91 26 217
	270 92 17 254
	271 85 21 217
	272 85 29 195
46 5
	273 99 23 239
	274 98 25 220
	275 86 34 153
	276 87 27 185
	277 88 32 171
47 6
	278 85 66 329
	279 85 38 463
	280 90 57 410
	281 99 71 396
	282 88 52 420
	283 80 43 406
48 6
	284 99 29 352
	285 89 42 259
	286 80 46 217
	287 98 36 319
	288 87 23 325
	289 95 49 259
49 5
	290 98 34 338
	291 93 44 293
	292 97 51 276
	293 88 41 280
	294 87 24 352
50 6
	295 82 10 171
	296 96 17 175
	297 88 14 173
	298 97 12 196
	299 86 21 138
	300 90 15 164
51 7
	301 83 24 155
	302 98 14 231
	303 99 16 225
	304 80 26 144
	305 93 31 151
	306 91 20 192
	307 96 18 209
52 6
	308 91 18 118
	309 84 10 143
	310 93 12 141
	311 88 8 148
	312 82 21 91
	313 91 11 144
53 8
	314 97 43 287
	315 89 26 323
	316 89 50 243
	317 87 36 283
	318 93 30 337
	319 96 46 277
	320 96 33 333
	321 85 40 270
54 5
	322 88 26 278
	323 92 35 257
	324 96 17 341
	325 98 29 302
	326 91 23 305
55 8
	327 80 18 207
	328 98 28 210
	329 81 23 191
	330 87 14 242
	331 96 21 233
	332 95 25 219
	333 97 16 256
	334 96 35 177
56 8
	335 97 14 161
	336 83 11 150
	337 92 22 125
	338 90 9 171
	339 99 19 145
	340 83 17 126
	341 87 20 122
	342 98 15 160
57 4
	343 81 30 145
	344 87 28 169
	345 93 17 227
	346 87 33 154
58 4
	347 97 58 383
	348 89 36 442
	349 92 54 388
	350 97 40 460
59 7
	351 86 59 277
	352 93 31 404
	353 81 55 269
	354 97 39 393
	355 86 27 393
	356 92 35 389
	357 88 51 313
60 8
	358 91 20 305
	359 87 23 284
	360 84 41 207
	361 95 17 335
	362 89 32 258
	363 97 44 234
	364 94 29 284
	365 89 38 228
61 6
	366 92 21 406
	367 81 32 314
	368 83 29 340
	369 95 40 347
	370 88 36 322
	371 85 51 252
62 5
	372 88 22 154
	373 85 11 193
	374 95 16 185
	375 85 27 122
	376 97 20 174
63 8
	377 82 26 371
	378 99 57 314
	379 93 53 295
	380 81 49 268
	381 84 22 394
	382 86 34 352
	383 92 45 325
	384 80 30 352
64 8
	385 99 34 214
	386 85 36 165
	387 86 32 184
	388 93 17 261
	389 87 24 219
	390 98 27 239
	391 88 29 202
	392 99 19 268
65 4
	393 89 23 165
	394 99 19 194
	395 86 13 190
	396 95 17 192
66 6
	397 89 27 400
	398 97 39 388
	399 87 47 313
	400 82 23 400
	401 89 35 384
	402 92 55 305
67 4
	403 96 10 164
	404 96 19 130
	405 84 12 140
	406 95 22 118
68 6
	407 88 27 141
	408 94 25 160
	409 81 11 198
	410 80 21 155
	411 94 13 212
	412 89 17 190
69 5
	413 99 22 436
	414 87 29 351
	415 80 48 251
	416 90 37 336
	417 89 51 284
70 4
	418 90 55 334
	419 92 47 381
	420 90 60 330
	421 86 25 437
71 5
	422 94 44 414
	423 81 39 392
	424 89 26 471
	425 96 35 475
	426 94 57 365
72 5
	427 87 12 224
	428 80 31 130
	429 88 29 153
	430 98 18 214
	431 84 16 197
73 5
	432 92 27 349
	433 82 48 234
	434 94 24 384
	435 95 38 321
	436 83 52 227
74 4
	437 82 30 410
	438 87 47 371
	439 80 38 375
	440 92 25 479
75 7
	441 91 29 318
	442 83 26 299
	443 80 45 214
	444 85 39 253
	445 84 19 331
	446 98 35 318
	447 90 42 253
76 6
	448 91 25 272
	449 91 34 237
	450 93 28 266
	451 92 20 303
	452 88 37 229
	453 84 42 183
77 7
	454 80 61 287
	455 92 65 327
	456 86 26 449
	457 88 39 405
	458 84 43 379
	459 82 34 392
	460 82 52 331
78 6
	461 89 32 338
	462 96 28 370
	463 98 53 285
	464 94 46 295
	465 97 24 388
	466 84 42 274
79 5
	467 95 53 319
	468 90 30 392
	469 88 26 396
	470 89 38 342
	471 97 50 334
80 7
	472 85 33 255
	473 80 42 201
	474 88 27 279
	475 97 36 270
	476 96 45 228
	477 87 18 318
	478 84 30 258
81 7
	479 80 23 140
	480 90 13 204
	481 97 21 186
	482 94 17 194
	483 99 19 200
	484 99 29 157
	485 93 27 149
82 5
	486 97 56 367
	487 86 43 371
	488 83 34 406
	489 90 25 475
	490 96 47 397
83 4
	491 83 17 233
	492 89 31 194
	493 81 24 197
	494 82 21 216
84 8
	495 88 39 181
	496 93 21 268
	497 89 26 236
	498 84 34 197
	499 84 15 276
	500 81 29 213
	501 98 18 303
	502 86 37 191
85 5
	503 87 43 448
	504 92 62 385
	505 96 33 530
	506 92 48 453
	507 82 38 453
86 6
	508 90 11 174
	509 88 16 154
	510 85 22 123
	511 98 20 155
	512 80 13 154
	513 85 10 171
87 4
	514 87 22 398
	515 98 34 402
	516 90 53 295
	517 82 26 367
88 6
	518 84 18 185
	519 95 14 227
	520 91 23 187
	521 85 16 202
	522 94 31 160
	523 81 29 138
89 5
	524 98 29 337
	525 99 48 265
	526 99 42 291
	527 88 25 317
	528 88 22 333
90 5
	529 91 9 102
	530 94 8 109
	531 87 12 85
	532 80 10 86
	533 98 7 119
91 6
	534 99 55 376
	535 90 29 452
	536 85 42 371
	537 81 38 380
	538 83 59 299
	539 93 34 444
92 4
	540 90 27 174
	541 81 31 138
	542 97 12 240
	543 90 29 161
93 8
	544 84 63 370
	545 87 43 449
	546 85 48 434
	547 82 68 341
	548 85 53 395
	549 80 39 444
	550 88 58 405
	551 91 73 356
94 8
	552 94 33 521
	553 95 62 410
	554 96 38 501
	555 99 48 492
	556 91 72 342
	557 93 43 477
	558 83 67 328
	559 96 28 545
95 8
	560 82 34 189
	561 85 36 181
	562 81 31 199
	563 93 39 191
	564 93 15 294
	565 81 23 231
	566 95 28 246
	567 92 26 244
96 5
	568 93 20 260
	569 81 15 250
	570 97 25 250
	571 93 30 215
	572 84 22 227
97 6
	573 94 18 203
	574 82 12 205
	575 81 14 197
	576 90 31 153
	577 96 26 174
	578 81 22 166
98 5
	579 91 15 229
	580 84 19 193
	581 81 17 193
	582 88 21 188
	583 80 23 165
99 7
	584 97 34 394
	585 82 45 287
	586 92 49 314
	587 84 57 256
	588 80 42 306
	589 90 22 409
	590 98 38 383
100 5
	591 81 22 217
	592 84 19 227
	593 87 32 187
	594 84 37 165
	595 86 14 251
101 4
	596 80 12 102
	597 83 7 125
	598 98 8 141
	599 94 18 95
102 4
	600 92 25 161
	601 99 19 194
	602 83 21 159
	603 99 27 163
103 4
	604 88 53 249
	605 86 35 317
	606 97 21 406
	607 97 42 324
104 4
	608 86 71 325
	609 93 62 401
	610 91 43 463
	611 91 57 406
105 5
	612 97 34 338
	613 84 47 243
	614 93 23 373
	615 99 20 403
	616 98 44 301
106 7
	617 82 21 363
	618 91 32 356
	619 95 50 287
	620 91 28 356
	621 98 46 323
	622 82 43 266
	623 91 39 327
107 6
	624 98 48 497
	625 81 63 346
	626 80 53 370
	627 98 43 497
	628 93 29 536
	629 87 68 361
108 4
	630 87 57 289
	631 94 61 318
	632 96 44 391
	633 96 28 444
109 4
	634 90 22 207
	635 96 29 189
	636 88 20 209
	637 96 13 256
110 4
	638 86 42 242
	639 83 36 258
	640 93 19 360
	641 82 26 307
111 6
	642 96 39 206
	643 92 37 211
	644 81 18 251
	645 87 23 251
	646 81 15 264
	647 89 34 209
112 4
	648 80 7 109
	649 87 17 81
	650 96 12 108
	651 84 11 100
113 8
	652 95 14 264
	653 98 26 231
	654 97 18 250
	655 81 33 163
	656 94 30 203
	657 84 28 184
	658 82 21 205
	659 89 35 163
114 4
	660 91 15 87
	661 94 10 114
	662 87 14 85
	663 86 17 78
115 7
	664 98 37 373
	665 94 49 317
	666 82 52 260
	667 99 56 305
	668 83 41 298
	669 89 45 305
	670 94 33 385
116 7
	671 91 45 220
	672 81 39 220
	673 83 18 301
	674 91 30 277
	675 81 36 220
	676 98 42 247
	677 83 27 262
117 4
	678 87 58 262
	679 93 31 403
	680 94 27 430
	681 93 23 426
118 8
	682 98 45 400
	683 99 37 425
	684 98 57 342
	685 97 41 404
	686 90 28 425
	687 81 53 288
	688 86 24 420
	689 98 61 334
119 5
	690 99 63 383
	691 93 41 451
	692 88 27 483
	693 92 45 428
	694 85 59 346
120 8
	695 94 19 292
	696 97 24 281
	697 89 30 240
	698 90 41 199
	699 86 38 202
	700 93 16 308
	701 87 21 259
	702 97 27 273
121 5
	703 89 50 268
	704 82 35 296
	705 91 46 296
	706 80 28 328
	707 81 53 232
50 590 0
2
