91 135
	142 94 27 505
	143 94 45 436
	144 84 63 318
	145 90 31 464
	146 93 68 332
	147 96 36 473
25 4
	148 87 47 377
	149 94 60 351
	150 90 52 368
	151 89 56 334
26 7
	152 89 28 153
	153 80 20 162
	154 82 26 149
	155 82 16 188
	156 93 24 178
	157 96 14 218
	158 86 22 168
27 4
	159 82 58 259
	160 97 51 349
	161 83 47 294
	162 98 39 396
28 6
	163 89 44 474
	164 80 69 326
	165 99 59 454
	166 83 74 326
	167 92 29 538
	168 83 49 415
29 8
	169 85 45 392
	170 92 27 501
	171 84 54 346
	172 97 68 369
	173 84 36 428
	174 99 41 479
	175 95 50 424
	176 83 59 323
30 7
	177 84 17 75
	178 81 6 112
	179 89 9 111
	180 81 14 81
	181 85 16 82
	182 89 8 118
	183 89 13 95
31 7
	184 83 45 247
	185 92 48 272
	186 89 31 334
	187 91 20 380
	188 80 52 223
	189 83 41 265
	190 84 24 348
32 5
	191 98 59 350
	192 99 50 384
	193 93 29 456
	194 97 54 367
	195 89 33 414
33 5
	196 88 33 497
	197 85 28 488
	198 88 67 349
	199 88 38 464
	200 88 71 330
34 5
	201 94 25 161
	202 89 17 179
	203 89 11 206
	204 92 21 173
	205 89 23 156
35 4
	206 96 34 389
	207 87 57 258
	208 88 42 328
	209 95 46 347
36 8
	210 97 68 366
	211 90 54 389
	212 97 50 425
	213 92 45 435
	214 93 64 352
	215 86 32 448
	216 85 36 444
	217 96 59 403
37 8
	218 87 16 247
	219 83 24 205
	220 91 26 213
	221 98 19 266
	222 81 36 157
	223 81 33 162
	224 80 31 174
	225 91 29 205
38 8
	226 84 10 173
	227 96 18 161
	228 93 13 179
	229 84 24 120
	230 92 20 144
	231 94 12 187
	232 94 22 144
	233 86 15 158
39 7
	234 95 55 363
	235 98 63 342
	236 96 38 431
	237 91 50 355
	238 88 59 313
	239 96 46 401
	240 97 42 427
40 4
	241 84 19 170
	242 95 29 150
	243 94 17 194
	244 97 25 168
41 4
	245 95 39 223
	246 82 28 240
	247 81 36 203
	248 87 33 228
42 8
	249 81 64 344
	250 88 49 459
	251 98 74 394
	252 92 39 519
	253 81 34 479
	254 80 29 479
	255 97 44 509
	256 86 59 409
43 4
	257 94 10 138
	258 80 16 99
	259 99 13 138
	260 80 20 83
44 7
	261 99 8 122
	262 90 7 116
	263 97 15 93
	264 80 6 107
	265 84 12 89
	266 98 11 108
	267 96 9 114
45 7
	268 93 16 247
	269 80 30 158
	270 80 28 170
	271 85 14 242
	272 94 21 231
	273 99 23 235
	274 96 32 193
46 7
	275 96 28 380
	276 84 39 304
	277 81 47 250
	278 92 54 260
	279 83 21 358
	280 87 25 366
	281 95 36 344
47 7
	282 89 18 202
	283 90 27 171
	284 97 14 235
	285 80 29 133
	286 80 16 190
	287 91 25 175
	288 95 22 198
48 7
	289 89 38 181
	290 98 36 212
	291 99 15 300
	292 89 33 209
	293 98 23 266
	294 87 28 217
	295 87 20 248
49 7
	296 85 23 153
	297 93 27 154
	298 92 15 197
	299 86 17 182
	300 83 13 185
	301 80 29 118
	302 85 25 149
50 6
	303 90 70 334
	304 96 56 419
	305 84 47 409
	306 90 51 419
	307 85 61 348
	308 92 32 499
51 5
	309 99 16 170
	310 91 19 139
	311 88 18 140
	312 88 13 160
	313 97 23 135
52 8
	314 88 36 390
	315 93 24 451
	316 81 45 324
	317 85 49 320
	318 87 28 410
	319 91 53 336
	320 89 61 287
	321 83 41 353
53 7
	322 94 21 108
	323 96 13 144
	324 93 14 140
	325 93 17 123
	326 92 20 115
	327 92 10 153
	328 99 18 127
54 5
	329 82 23 228
	330 93 15 288
	331 95 38 199
	332 94 20 272
	333 89 31 215
55 4
	334 95 43 224
	335 80 40 198
	336 87 20 300
	337 88 26 274
56 7
	338 96 28 166
	339 95 18 212
	340 98 16 224
	341 87 22 179
	342 96 24 185
	343 82 26 144
	344 99 14 228
57 6
	345 89 18 126
	346 98 13 159
	347 90 23 108
	348 80 21 99
	349 84 9 159
	350 91 20 128
58 8
	351 86 23 410
	352 84 38 332
	353 86 46 317
	354 82 58 251
	355 83 27 371
	356 90 50 305
	357 95 54 305
	358 96 30 406
59 8
	359 97 20 157
	360 82 11 160
	361 88 25 119
	362 91 17 158
	363 90 13 172
	364 99 22 155
	365 90 23 128
	366 97 18 165
60 5
	367 90 42 341
	368 88 46 321
	369 85 27 376
	370 83 50 283
	371 97 58 298
61 4
	372 84 37 380
	373 85 58 288
	374 80 25 401
	375 87 29 414
62 5
	376 85 32 276
	377 85 44 228
	378 84 25 298
	379 90 48 231
	380 86 41 250
63 8
	381 91 24 154
	382 94 27 141
	383 84 13 186
	384 94 26 145
	385 82 18 158
	386 98 11 219
	387 86 22 150
	388 97 20 172
64 4
	389 93 21 118
	390 97 9 175
	391 95 22 113
	392 96 16 139
65 5
	393 91 24 300
	394 96 21 330
	395 89 33 264
	396 94 27 300
	397 86 18 309
66 4
	398 82 28 466
	399 82 52 385
	400 99 66 399
	401 91 38 489
67 5
	402 84 16 231
	403 83 32 161
	404 84 30 171
	405 81 25 180
	406 82 13 235
68 8
	407 83 63 344
	408 87 48 421
	409 85 72 334
	410 96 33 538
	411 91 43 470
	412 90 67 373
	413 91 29 533
	414 88 53 412
69 4
	415 97 64 343
	416 87 25 450
	417 87 60 308
	418 82 55 300
70 8
	419 99 73 391
	420 83 68 342
	421 80 63 352
	422 80 48 411
	423 90 58 406
	424 98 44 499
	425 84 53 406
	426 84 39 469
71 8
	427 87 10 110
	428 89 14 100
	429 82 17 75
	430 88 13 103
	431 82 8 112
	432 96 15 101
	433 99 11 122
	434 97 7 137
72 6
	435 93 16 186
	436 85 23 141
	437 86 22 147
	438 96 18 178
	439 83 27 123
	440 91 20 160
73 7
	441 87 12 181
	442 93 21 157
	443 80 18 150
	444 98 25 155
	445 86 10 186
	446 83 27 114
	447 86 23 141
74 6
	448 87 48 368
	449 84 61 298
	450 96 43 434
	451 95 35 452
	452 86 52 360
	453 82 39 377
75 6
	454 93 41 233
	455 86 29 260
	456 80 20 283
	457 87 35 245
	458 94 17 337
	459 81 23 272
76 5
	460 87 30 237
	461 85 40 177
	462 88 19 283
	463 93 16 303
	464 94 32 242
77 4
	465 95 12 164
	466 91 23 109
	467 88 15 142
	468 81 17 125
78 8
	469 82 34 394
	470 98 42 420
	471 82 25 420
	472 99 60 356
	473 82 30 403
	474 91 47 381
	475 93 64 313
	476 92 55 356
79 6
	477 93 16 138
	478 87 13 142
	479 97 19 132
	480 95 10 170
	481 81 12 136
	482 87 9 164
80 4
	483 85 30 437
	484 97 44 441
	485 98 61 375
	486 97 26 498
81 8
	487 86 69 349
	488 98 54 483
	489 81 34 478
	490 84 29 508
	491 95 64 423
	492 98 39 548
	493 99 59 458
	494 98 74 404
82 4
	495 88 41 330
	496 87 48 281
	497 96 56 300
	498 82 26 368
83 7
	499 85 28 255
	500 86 40 206
	501 81 25 244
	502 88 20 295
	503 84 43 195
	504 85 31 244
	505 97 34 264
84 7
	506 93 38 246
	507 87 20 305
	508 86 44 207
	509 82 26 264
	510 87 23 282
	511 82 35 222
	512 93 17 326
85 5
	513 88 6 120
	514 89 13 93
	515 92 7 122
	516 97 11 114
	517 88 15 86
86 4
	518 99 29 393
	519 81 40 287
	520 96 51 302
	521 80 43 277
87 5
	522 84 39 328
	523 82 31 363
	524 89 27 402
	525 82 35 343
	526 99 46 367
88 4
	527 99 9 161
	528 80 21 86
	529 99 19 117
	530 83 8 138
89 6
	531 96 43 221
	532 84 37 209
	533 99 25 307
	534 88 22 287
	535 96 17 324
	536 98 20 318
90 7
	537 99 26 436
	538 93 45 336
	539 83 57 248
	540 91 38 355
	541 80 34 336
	542 83 49 275
	543 89 22 417
91 5
	544 83 11 198
	545 90 25 158
	546 85 23 156
	547 91 19 179
	548 86 13 191
50 565 0
2
